game_link,game_score,team_1_score,team_2_score,team_1_name,team_2_name,game_id
https://official.nba.com/l2m/L2MReport.html?gameId=0022300226,"Magic 124, Nuggets 119",124,119,Magic,Nuggets,0022300226
https://official.nba.com/l2m/L2MReport.html?gameId=0022300227,"Hawks 147, Nets 145",147,145,Hawks,Nets,0022300227
https://official.nba.com/l2m/L2MReport.html?gameId=0022300228,"Celtics 119, Bucks 116",119,116,Celtics,Bucks,0022300228
https://official.nba.com/l2m/L2MReport.html?gameId=0022300230,"Raptors 132, Pacers 131",132,131,Raptors,Pacers,0022300230
https://official.nba.com/l2m/L2MReport.html?gameId=0022300233,"Pelicans 117, Kings 112",117,112,Pelicans,Kings,0022300233
https://official.nba.com/l2m/L2MReport.html?gameId=0022300236,"Suns 123, Warriors 115",123,115,Suns,Warriors,0022300236
https://official.nba.com/l2m/L2MReport.html?gameId=0022300238,"Mavericks 104, Lakers 101",104,101,Mavericks,Lakers,0022300238
https://official.nba.com/l2m/L2MReport.html?gameId=0022300039,"Pacers 157, Hawks 152",157,152,Pacers,Hawks,0022300039
https://official.nba.com/l2m/L2MReport.html?gameId=0022300040,"Cavaliers 122, 76ers 119 (OT)",122,119,Cavaliers,76ers,0022300040
https://official.nba.com/l2m/L2MReport.html?gameId=0022300217,"Hornets 121, Celtics 118",121,118,Hornets,Celtics,0022300217
https://official.nba.com/l2m/L2MReport.html?gameId=0022300218,"Nuggets 107, Pistons 103",107,103,Nuggets,Pistons,0022300218
https://official.nba.com/l2m/L2MReport.html?gameId=0022300216,"Lakers 105, Rockets 104",105,104,Lakers,Rockets,0022300216
https://official.nba.com/l2m/L2MReport.html?gameId=0022300213,"Celtics 102, Grizzlies 100",102,100,Celtics,Grizzlies,0022300213
https://official.nba.com/l2m/L2MReport.html?gameId=0022300214,"Suns 140, Jazz 137",140,137,Suns,Jazz,0022300214
https://official.nba.com/l2m/L2MReport.html?gameId=0022300203,"Timberwolves 121, Pelicans 120",121,120,Timberwolves,Pelicans,0022300203
https://official.nba.com/l2m/L2MReport.html?gameId=0022300204,"Bulls 102, Heat 97",102,97,Bulls,Heat,0022300204
https://official.nba.com/l2m/L2MReport.html?gameId=0022300205,"Bucks 132, Mavericks 125",132,125,Bucks,Mavericks,0022300205
https://official.nba.com/l2m/L2MReport.html?gameId=0022300207,"Thunder 130, Warriors 123 (OT)",130,123,Thunder,Warriors,0022300207
https://official.nba.com/l2m/L2MReport.html?gameId=0022300031,"Celtics 108, Raptors 105",108,105,Celtics,Raptors,0022300031
https://official.nba.com/l2m/L2MReport.html?gameId=0022300033,"Magic 103, Bulls 97",103,97,Magic,Bulls,0022300033
https://official.nba.com/l2m/L2MReport.html?gameId=0022300034,"Pelicans 115, Nuggets 110",115,110,Pelicans,Nuggets,0022300034
https://official.nba.com/l2m/L2MReport.html?gameId=0022300035,"Suns 131, Jazz 128",131,128,Suns,Jazz,0022300035
https://official.nba.com/l2m/L2MReport.html?gameId=0022300037,"Clippers 106, Rockets 100",106,100,Clippers,Rockets,0022300037
https://official.nba.com/l2m/L2MReport.html?gameId=0022300196,"Magic 96, Bulls 94",96,94,Magic,Bulls,0022300196
https://official.nba.com/l2m/L2MReport.html?gameId=0022300193,"Knicks 116, Hawks 114",116,114,Knicks,Hawks,0022300193
https://official.nba.com/l2m/L2MReport.html?gameId=0022300018,"Hawks 126, Pistons 120",126,120,Hawks,Pistons,0022300018
https://official.nba.com/l2m/L2MReport.html?gameId=0022300024,"Nuggets 111, Clippers 108",111,108,Nuggets,Clippers,0022300024
https://official.nba.com/l2m/L2MReport.html?gameId=0022300025,"Timberwolves 104, Warriors 101",104,101,Timberwolves,Warriors,0022300025
https://official.nba.com/l2m/L2MReport.html?gameId=0022300189,"Raptors 111, Wizards 107",111,107,Raptors,Wizards,0022300189
https://official.nba.com/l2m/L2MReport.html?gameId=0022300178,"Nets 102, Wizards 94",102,94,Nets,Wizards,0022300178
https://official.nba.com/l2m/L2MReport.html?gameId=0022300179,"Grizzlies 105, Clippers 101",105,101,Grizzlies,Clippers,0022300179
https://official.nba.com/l2m/L2MReport.html?gameId=0022300182,"Rockets 107, Nuggets 104",107,104,Rockets,Nuggets,0022300182
https://official.nba.com/l2m/L2MReport.html?gameId=0022300184,"Heat 118, Spurs 113",118,113,Heat,Spurs,0022300184
https://official.nba.com/l2m/L2MReport.html?gameId=0022300187,"Lakers 116, Trailblazers 110",116,110,Lakers,Trailblazers,0022300187
https://official.nba.com/l2m/L2MReport.html?gameId=0022300009,"Hornets 124, Wizards 117",124,117,Hornets,Wizards,0022300009
https://official.nba.com/l2m/L2MReport.html?gameId=0022300011,"Rockets 104, Pelicans 101",104,101,Rockets,Pelicans,0022300011
https://official.nba.com/l2m/L2MReport.html?gameId=0022300012," Jazz 127, Grizzlies 121",127,121,Jazz,Grizzlies,0022300012
https://official.nba.com/l2m/L2MReport.html?gameId=0022300015,"Lakers 122, Suns 119",122,119,Lakers,Suns,0022300015
https://official.nba.com/l2m/L2MReport.html?gameId=0022300171%0d,"Pacers 126, Bucks 124",126,124,Pacers,Bucks,0022300171
https://official.nba.com/l2m/L2MReport.html?gameId=0022300172%0d,"Hawks 120, Magic 119",120,119,Hawks,Magic,0022300172
https://official.nba.com/l2m/L2MReport.html?gameId=0022300159,"76ers 106, Celtics 103",106,103,76ers,Celtics,0022300159
https://official.nba.com/l2m/L2MReport.html?gameId=0022300162,"Suns 116, Bulls 115",116,115,Suns,Bulls,0022300162
https://official.nba.com/l2m/L2MReport.html?gameId=0022300164,"Heat 108, Grizzlies 102",108,102,Heat,Grizzlies,0022300164
https://official.nba.com/l2m/L2MReport.html?gameId=0022300165,"Bucks 120, Pistons 118",120,118,Bucks,Pistons,0022300165
https://official.nba.com/l2m/L2MReport.html?gameId=0022300169,"Nuggets 108, Warriors 105",108,105,Nuggets,Warriors,0022300169
https://official.nba.com/l2m/L2MReport.html?gameId=0022300170,"Kings 121, Trailblazers 118",121,118,Kings,Trailblazers,0022300170
https://official.nba.com/l2m/L2MReport.html?gameId=0022300149,"Bucks 129, Nets 125",129,125,Bucks,Nets,0022300149
https://official.nba.com/l2m/L2MReport.html?gameId=0022300150,"Heat 108, Lakers 107",108,107,Heat,Lakers,0022300150
https://official.nba.com/l2m/L2MReport.html?gameId=0022300154,"Timberwolves 114, Celtics 109",114,109,Timberwolves,Celtics,0022300154
https://official.nba.com/l2m/L2MReport.html?gameId=0022300141,"Raptors 123, Spurs 116",123,116,Raptors,Spurs,0022300141
https://official.nba.com/l2m/L2MReport.html?gameId=0022300143,"Mavericks 124, Hornets 118",124,118,Mavericks,Hornets,0022300143
https://official.nba.com/l2m/L2MReport.html?gameId=0022300133,"Hornets 125, Pacers 124",125,124,Hornets,Pacers,0022300133
https://official.nba.com/l2m/L2MReport.html?gameId=0022300001,"Pacers 121, Cavaliers 116",121,116,Pacers,Cavaliers,0022300001
https://official.nba.com/l2m/L2MReport.html?gameId=0022300002,"Bucks 110, Knicks 105",110,105,Bucks,Knicks,0022300002
https://official.nba.com/l2m/L2MReport.html?gameId=0022300004,"Nets 109, Bulls 107",109,107,Nets,Bulls,0022300004
https://official.nba.com/l2m/L2MReport.html?gameId=0022300005,"Warriors 141, Thunder 139",141,139,Warriors,Thunder,0022300005
https://official.nba.com/l2m/L2MReport.html?gameId=0022300007,"Trailblazers 115, Grizzlies 113",115,113,Trailblazers,Grizzlies,0022300007
https://official.nba.com/l2m/L2MReport.html?gameId=0022300130,"Magic 115, Jazz 113",115,113,Magic,Jazz,0022300130
https://official.nba.com/l2m/L2MReport.html?gameId=0022300115,"Trailblazers 110, Pistons 101",110,101,Trailblazers,Pistons,0022300115
https://official.nba.com/l2m/L2MReport.html?gameId=0022300119,"Nets 109, Heat 105",109,105,Nets,Heat,0022300119
https://official.nba.com/l2m/L2MReport.html?gameId=0022300121,"Pelicans 110, Thunder 106",110,106,Pelicans,Thunder,0022300121
https://official.nba.com/l2m/L2MReport.html?gameId=0022300124,"Mavericks 114, Bulls 105",114,105,Mavericks,Bulls,0022300124
https://official.nba.com/l2m/L2MReport.html?gameId=0022300126%0d,"Warriors 102, Kings 101",102,101,Warriors,Kings,0022300126
https://official.nba.com/l2m/L2MReport.html?gameId=0022300127%0d,"Lakers 130, Clippers 125",130,125,Lakers,Clippers,0022300127
